# Translators note :
# Some ref/comment are given when it might be ambiguous
# Don't translate any STR_LANG.. instead create a new variable with STR_LGS_YOURLANGUAGE and your name (see other STR_LANG for examples).
STR_LGS_ENGLISH		: Krinn (english)
STR_DESC_25		: Put your hand on a hot stove for a minute, and it seems like an hour. Sit with a pretty girl for an hour, and it seems like a minute. That's relativity.
STR_INFO_25		: 
STR_OPT_25_133_60	:

# name
STR_KEY_26		: Stock Exchange
STR_DESC_26		: The first to handle all cargos !
STR_INFO_26		: 
STR_OPT_26_0_22		:

STR_KEY_27		: Who wants to be a millionaire?
STR_DESC_27		: The first to delivers a million cargo
STR_INFO_27		: 
STR_OPT_27_0_25		:

# stephen king, shining
STR_KEY_28		: The Overlook Hotel
STR_DESC_28		: Having a height station, under snow and... alone...
STR_INFO_28		: It's freaky to live at {STATION}
STR_OPT_28_0_60		:

STR_KEY_29		: The Grinch
STR_DESC_29		: Not really in love with a snow town
STR_INFO_29		: At {TOWN}
STR_OPT_29_0_30		:

STR_KEY_30		: The White House
STR_DESC_30		: Having your headquarter built
STR_INFO_30		: 
STR_OPT_30_131_40	:

STR_KEY_31		: Dr. Pamela Lillian Isley
STR_DESC_31		: Having an headquarter she appreciates
STR_INFO_31		: 
STR_OPT_31_0_45		:

STR_KEY_32		: Jim Profit
STR_DESC_32		: Handling the most cargo
STR_INFO_32		: With {NUM} cargo{P "" s} handled : {CARGO_LIST}
STR_OPT_32_23_25	:

STR_KEY_33		: Waiting staff
STR_DESC_33		: Delivers 10000 cargos to towns
STR_INFO_33		: 
STR_OPT_33_121_0	:

STR_KEY_34		: Chief
STR_DESC_34		: Delivers 100000 cargos to towns
STR_INFO_34		: 
STR_OPT_34_122_0	:

STR_KEY_35		: World Food Program
STR_DESC_35		: Delivers 300000 cargos to towns
STR_INFO_35		: 
STR_OPT_35_123_0	:

# aka Blondie or the Good
STR_KEY_36		: Man with no name
STR_DESC_36		: After a meal there's nothing like a good cigar
STR_INFO_36		: goods
STR_OPT_36_123_30	:

# aka The bad
STR_KEY_37		: Angel Eyes
STR_DESC_37		: Why are you going under the name Bill Carson now? 
STR_INFO_37		: value, gold, diam
STR_OPT_37_123_31	:

# aka The ugly
STR_KEY_38		: Tuco Benedicto Pacífico Juan María Ramírez
STR_DESC_38		: Don't die, I'll get you water. Stay there. Don't move, I'll get you water. Don't die until later
STR_INFO_38		: 
STR_OPT_38_123_32	:

STR_KEY_39		: The Good, the Bad and the Ugly
STR_DESC_39		: The first owning the Dollars Trilogy awards
STR_INFO_39		: Own awards : {STRING}, {STRING} and {STRING}
STR_OPT_39_0_39		:

STR_KEY_40		: Dispatcher
STR_DESC_40		: Delivers 10000 cargos to industries
STR_INFO_40		: 
STR_OPT_40_121_0	:

STR_KEY_41		: Manager
STR_DESC_41		: Delivers 100000 cargos to industries
STR_INFO_41		: 
STR_OPT_41_122_0	:

STR_KEY_42		: Tycoon
STR_DESC_42		: Delivers 300000 cargos to industries
STR_INFO_42		: 
STR_OPT_42_123_0	:

STR_KEY_43		: Ewing's familly
STR_DESC_43		: Delivers 100000 Oil
STR_INFO_43		: 
STR_OPT_43_123_32	:

STR_KEY_44		: Time machine
STR_DESC_44		: Own a road vehicle that can reach 88mph
STR_INFO_44		: With {VEHICLE} powered by {ENGINE} running at {VELOCITY}
STR_OPT_44_112_40	:

STR_KEY_45		: Walter Sobchak
STR_DESC_45		: This is what happens when you fuck a stranger in the ass! 
STR_INFO_45		: Having one of your road vehicle destroyed
STR_OPT_45_133_0	:

STR_KEY_46		: J.F. Sebastian
STR_DESC_46		: They're toys. My friends are toys. I make them. It's a hobby. I'm a genetic designer
STR_INFO_46		: 
STR_OPT_46_122_0	:

# southpark s03
STR_KEY_47		: Getting Gay With Kids is here
STR_DESC_47		: There's a place called the rainforest that truly sucks ass
STR_INFO_47		: 
STR_OPT_47_123_0	:

STR_KEY_48		: Back to the Future
STR_DESC_48		: The first to own {STRING} and {STRING}
STR_INFO_48		: 
STR_OPT_48_0_0		:

STR_KEY_49		: Gabriel
STR_DESC_49		: You are not a musician, why the horn so ?
STR_INFO_49		: With {NUM} soul{P "" s} collected
STR_OPT_49_33_0		:

STR_KEY_50		: We are the Borg
STR_DESC_50		: Your biological and technological distinctiveness will be added to our own. Resistance is futile.
STR_INFO_50		: 
STR_OPT_50_123_0	:


